app_id,title,vendor,status,functional_category,deployment_type,short_description,capabilities,data_sources,labels,notes,contract_annual_spend,fiscal_ytd_expense_total,prev_fiscal_year_expense_total,engaged_users,provisioned_users,users_with_sso_access,users_logging_in_via_sso,cost_center_primary,product_owner_name,it_contact,security_contact,legal_contact,procurement_contact,vendor_contact,general_contact,last_updated
ce3acef0-1311-405c-8469-59d8426d88dd,Adobe,Adobe,approved,Design,Unknown,"A comprehensive collection of software applications for graphic design, video editing, web development, photography, and more, widely used by creative professionals and hobbyists alike.","Image Editing, Video editing, Publishing, Stock Media","SSO Logins, Contract uploads, Expense Mgmt, ERP",IT Funded,-,0.0,1983.73,15293.96,0,0,198,25,652-it operations,-,-,-,-,Prashanth Kumar s,-,,2026-01-21T00:11:41.039693+00:00
a72da95f-d8c1-49d4-ab36-aff97bf787fe,Adobe Experience Manager,Adobe,approved,-,Unknown,"It is a content management solution software that is used for building websites, mobile apps, and forms.",-,"SSO Logins, Contract uploads",Business Funded,-,167530.0,0.0,0.0,0,0,37,7,516-global demand gen,-,-,-,-,-,-,,2026-01-21T00:11:41.057786+00:00
f8c73643-ef57-48c5-bd7f-6aae6f441950,Adobe Marketo Engage,Adobe,approved,Marketing,Unknown,An automation software from Adobe that offers leading account based marketing products and services to generate revenue and increase engagements.,"Email, Marketing automation, Digital Marketing","SSO Logins, Contract uploads, ERP",IT Funded,-,0.0,357192.93,349549.27,0,0,49,30,650-it executive,Eraj Ismatulloev,-,-,-,Prashanth Kumar s,-,,2026-01-21T00:11:41.038686+00:00
6b038e17-5c4a-4f53-97e1-a093a62ddd9f,Adobe Marketo Measure,Adobe,-,IT,Unknown,"Marketing attribution solution that automatically tracks and reports on channel performance, providing visibility into which channels are driving the most customer engagement and allowing you to optimize your marketing spend accordingly.","Data & Analytics, Application Performance Monitoring, Market Intelligence",SSO Logins,IT Funded,Bizible,0.0,0.0,0.0,0,0,33,6,650-it executive,-,-,-,-,-,-,,2026-01-21T00:11:41.062757+00:00
62050021-78fa-45c0-a77f-8395db69cab8,Akamai,Akamai,-,IT,Unknown,"A cloud-based platform that delivers secure, high-performing user experiences to any device.","Cloud Infrastructure, Content Delivery Network, Cloud Security","Contract uploads, ERP",IT Funded,"Akamai, similar to Acquia, is also a backend application that is used to manage software downloads. It is used only by a few internal users from the engineering group",0.0,58577.2,81603.64,0,0,0,0,650-it executive,-,-,-,-,-,-,,2026-01-21T00:11:41.087961+00:00
f3ad904b-d668-45fe-a62c-a6142bc7923f,AlertMedia,Alert Media,approved,-,Unknown,A communication software that helps to communicate effectively during any emergency or business-critical event.,facilities,"SSO Logins, Contract uploads",Business Funded,-,30687.58,0.0,0.0,0,0,2862,277,660-facilities,-,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.023780+00:00
d2eec87d-7b0c-4602-8baf-8f763f9e6654,Alkira,Alkira,-,-,Unknown,-,-,"Expense Mgmt, ERP",-,-,0.0,5499.0,0.0,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.140831+00:00
fe687c5a-4df2-4219-81eb-058c9674c421,Allgress,Allgress,none,IT,Unknown,"Allgress is a global provider of IT security, compliance, and risk management (GRC) solutions for end-user organisations and third-party vendors to help them achieve their business goals with the least amount of risk.",GRC,"SSO Logins, Contract uploads, ERP","SaaS Security Application, IT Funded",-,0.0,0.0,69950.0,0,0,17,0,650-it executive,-,Kevin Cummings,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.078812+00:00
9455d1cb-3145-4f59-a654-9907145c7538,AlphaSense,Feedback Loop,-,IT,Unknown,"Market intelligence platform that uses thousands of premium (indexed, searchable) business data sources to enable its customers to make data-driven decisions.","Data Source, Market Intelligence",ERP,Business Funded,-,0.0,16500.0,0.0,0,0,0,0,380-product management,-,-,-,-,-,-,,2026-01-21T00:11:41.141290+00:00
8db65856-2706-492a-ba5b-fb445559f90b,Altinity,Altinity Inc.,-,-,Unknown,"Altinity enables developers to add high-performance analytics to any application, regardless of where it runs, the amount of data required to answer questions, or the speed with which the data arrives.",-,ERP,-,-,0.0,21060.0,0.0,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.141857+00:00
60de407f-39ca-4a11-8dc9-a4f1b97374f1,Amazon Web Services (AWS),Amazon,-,IT,Cloud,"A cloud services platform, offering compute power, database storage, content delivery.","Cloud Infrastructure, DevOps, IaaS, Content Delivery Network, Security & Compliance, Developer Tools","SSO Logins, Contract uploads, Expense Mgmt, ERP",-,-,0.0,22882622.33,17070733.28,0,0,1737,646,-,-,-,-,-,-,-,-,2026-01-21T00:11:41.016067+00:00
1b2b8e03-6a98-4266-8861-91ac43a7cfa8,American Registry for Internet Numbers,ARIN,-,-,Unknown,-,-,ERP,"Engineering, Business Funded",-,0.0,525.0,500.0,0,0,0,0,335-engineering-development,-,-,-,-,-,-,,2026-01-21T00:11:41.142361+00:00
7cbaf84a-8579-4c46-82b5-47e093bbe797,Anchore,Anchore,none,Security,Unknown,"Anchore Engine serves as the foundation for Anchore Enterprise, an SBOM-powered platform for software supply chain security that supports source code, container images, secret scanning, malware detection, and other features.",Security & Compliance,"SSO Logins, Contract uploads, ERP","Engineering, Business Funded",-,0.0,94140.0,92806.42,0,0,66,13,391-iid r&d,-,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.048276+00:00
cf1e6b94-34ac-460a-befc-cc81e1f50cc1,Anthropic,Anthropic,-,-,Unknown,"A research company that's working to build reliable, interpretable, and steerable AI systems.",-,Expense Mgmt,-,-,0.0,120.0,40.0,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.142821+00:00
7a204f2e-a933-4366-a637-9215cff2e620,AppDirect,AppDirect,-,-,Unknown,"A subscription commerce platform that enables the sale of any service, via any channel, on any device, including SaaS, IaaS, and DaaS.",-,"Contract uploads, ERP",Business Funded,-,155000.0,155000.0,155000.0,0,0,0,0,380-product management,-,-,-,-,-,-,,2026-01-21T00:11:41.088522+00:00
e2fe9ff6-ad8b-4435-8fd9-cb92c98df979,Appsecco,Appsecco,-,Security,Unknown,"A cybersecurity company that offers a range of services including security testing, cloud security, DevSecOps, and training to help organizations protect their applications, systems, and data from cyber threats.",Cloud Security,ERP,-,-,0.0,25500.0,22000.0,0,0,0,0,391-iid r&d,-,-,-,-,-,-,,2026-01-21T00:11:41.143350+00:00
067d6884-97bf-40e3-91e0-db65f5e8aa25,Apptio,IBM Corporation,approved,IT,Unknown,"Apptio SaaS solutions assist organizations in making sound decisions by analyzing, planning, optimizing, controlling, and collaborating on investments that will transform the IT operating model.","IT management, Finance, Business Intelligence","SSO Logins, ERP",IT Funded,-,0.0,170425.0,0.0,0,0,463,260,650-it executive,-,Ashley Lowe,-,-,-,-,,2026-01-21T00:11:41.024302+00:00
fc8fa4f2-b535-453e-b567-c7ef5d0e5b62,Ariba,SAP,-,IT,Unknown,An e-procurement and supply chain cloud solution that allows suppliers and buyers to connect and do business on a single platform.,Supply Chain,ERP,Business Funded,-,0.0,6681.55,14534.11,0,0,0,0,620-finance,Sasank Ambadasugari,-,-,-,-,-,,2026-01-21T00:11:41.143835+00:00
e062fc6f-f99d-45f0-b7d1-afcd962b0f8f,Articulate,Articulate,in_review,"Design, Product",Unknown,"Online training and course creation software that includes apps for authoring, sourcing assets, collaboration, and training.","Learning Apps, Learning management system, Training",Expense Mgmt,Expense Only,-,0.0,5347.41,2798.0,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.144374+00:00
3dd1fda7-f725-4c9f-88dc-4516bc8a4cfc,Aryaka,MyAryaka,-,IT,Unknown,Aryaka is a provider of software-defined wide-area network (SD-WAN) connectivity and application delivery.,ITSM,Contract uploads,IT Funded,-,192000.0,0.0,0.0,0,0,0,0,652-it operations,-,Drew Patten,-,-,-,-,,2026-01-21T00:11:41.089002+00:00
2c602245-1ab2-431d-9b73-d7bdf7452ddb,Atlassian Guard,Atlassian,in_review,IT,Unknown,"Enterprise-grade security and identity management tool that integrates with Atlassian cloud products to enhance security posture, enforce security policies, and provide centralized administrative control over user access and authentication.","Identity & Access Management, Data Security",Contract uploads,"Engineering, Business Funded",Already behind SSO,32500.0,0.0,0.0,0,0,0,0,390-cto organization,-,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.089567+00:00
7bcc49d9-0396-4fd0-851c-cda973923d50,AutoPilot,AutopilotHQ,-,-,Unknown,"Autopilot is simple and visual marketing automation software. Connect with your customers, follow up new leads and automate repetitive tasks.",-,ERP,-,-,0.0,976.26,777.01,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.144962+00:00
4bdb5774-9a55-4c0a-8c44-f1c7e9489cdb,Axonius,Axonius,-,Security,Unknown,"A cybersecurity Asset Management & SaaS Management platform that correlates asset data from existing solutions to provide an always up-to-date inventory, uncover gaps, and automate action","Security & Compliance, Productivity","SSO Logins, Contract uploads",IT Funded,-,111622.0,0.0,0.0,0,0,14,6,650-it executive,-,Narciso Castanos,-,-,-,-,,2026-01-21T00:11:41.062266+00:00
6100b1aa-52ab-4eb5-b538-90256635def2,Azure AI,Microsoft,-,-,Cloud,A cloud-based Azure AI service that uses machine-learning models to automate your data processing in applications and workflows.,-,"SSO Logins, ERP",-,-,0.0,0.0,1790.0,0,0,6,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.079327+00:00
64b631e4-264f-456c-b110-1926b631d11d,Azure lab,Microsoft,-,-,Cloud,"Is an Infrastructure management system that is used tocreate labs whose infrastructure is managed by Azure. The service itself handles all the infrastructure management, from spinning up virtual machines (VMs) to handling errors and scaling the infrastructure",-,SSO Logins,"Engineering, Business Funded",-,0.0,0.0,0.0,0,0,627,63,390-cto organization,-,-,-,-,-,-,,2026-01-21T00:11:41.034630+00:00
0a9edc9c-9b73-46ea-b505-5654e0b3f6c9,Benevity,Benevity,approved,IT,Unknown,"Charitable donation-management and grant-management platforms that facilitate ""purpose-driven"" corporate culture, engaging employees in acts that do good for their communities.","Employee Benefits, Donor Management","SSO Logins, Contract uploads, ERP",Business Funded,-,33081.37,32479.08,28682.92,0,0,2519,140,660-facilities,Anusha Radhakrishnan,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.028881+00:00
787ddfce-8217-4959-8771-c0e9bc06ebef,Bill.com,Bill.com,-,Finance,Unknown,"Payments platform that facilitates fast, secure ACH payments and automates approvals to appreciably cut time spent on tedious accounts payable jobs.",Accounts Payable & Receivable,Expense Mgmt,Expense Only,-,0.0,514.5,0.0,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.145516+00:00
35aedf17-a536-4eb2-ba5d-e1f794bd1652,BitSight,BitSight,approved,Security,Unknown,"A software application that assists organizations in quantifying cyber risk, measuring the effectiveness of security efforts, and benchmarking their performance against peers.","Security & Compliance, Threat Intelligence, Vulnerability Management","SSO Logins, Contract uploads, ERP",IT Funded,-,33692.31,41317.28,37905.86,0,0,53,7,650-it executive,-,-,Kate Wakefield,-,Prashanth Kumar s,-,,2026-01-21T00:11:41.058301+00:00
0d2b18a2-a8ba-4e66-847c-dfa838bf13d8,Biteable,Biteable,in_review,IT,Unknown,"Video editing software that enables users to create videos with animations, stock footage and images on a unified platform. Agencies can add watermarks, logos, audio and text to created content according to requirements.","Video editing, Image Editing, Animation",Expense Mgmt,Expense Only,-,0.0,787.0,1838.21,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.146086+00:00
237819a9-a943-4531-b843-8e7cc8662804,Blackline,Blackline,approved,IT,Unknown,"Accounting and finance platform that provides account reconciliation tools such as standardized templates, workflows for preparation, approval and review, linkage to policies and procedures, and integrated storage of supporting documentation.",Accounting & Finance,"SSO Logins, Contract uploads, ERP",Business Funded,-,55468.52,0.0,53592.77,0,0,186,90,621-finance accounting,Sasank Ambadasugari,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.030484+00:00
e3a13b6d-fe21-4bb0-9747-51cfc150c187,Blink,BLINK,-,Engineering,Unknown,"Security automation platform that empowers security teams with over 8,000 automated workflows, enabling the automation of security operations both within and outside the Security Operations Center (SOC).",DevOps,Expense Mgmt,Expense Only,-,0.0,26.65,25.8,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.146597+00:00
d97b065f-26c4-4500-97e9-8ca0406d3320,BlueSnap,BlueSnap,in_review,Finance,Unknown,An all-in-one payment platform for worldwide businesses to easily accept mobile and online payments.,"Accounts Payable & Receivable, Payment Processing",Expense Mgmt,Expense Only,-,0.0,0.0,316.6,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.147098+00:00
2563b30d-48ec-4dcd-8767-35f41e9dfcfb,Boomi,Dell,approved,IT,Unknown,"Low-code development platform that enables the connection of applications and data sources and provides API, lifecycle management and event-driven architecture features for cloud integration.",Application Integration,"SSO Logins, Contract uploads, ERP",IT Funded,-,374000.0,374000.0,0.0,0,0,45,13,651-it applications-crm,Subra,-,-,-,Prashanth Kumar s,-,,2026-01-21T00:11:41.048811+00:00
21ad169e-43e4-467a-84e6-21963f501e45,Brandwatch,Brandwatch,-,Marketing,Unknown,Brandwatch is a social media analytic tool that tracks billions of online conversations every day.,"Market Research, Business Analytics, Blog","Contract uploads, ERP",Business Funded,-,15504.0,17842.67,10402.44,0,0,0,0,514-corporate communications,-,-,-,-,-,-,,2026-01-21T00:11:41.090079+00:00
b18f1364-fe7e-4766-b845-8ae60b5f543a,Brex,Brex,-,Finance,Unknown,"It is a spend management software that is used to determines the creditworthiness of a business by evaluating its cash flow, spending patterns and financial backing, rather than the applicant's own credit history.",Expense Management,SSO Logins,-,-,0.0,0.0,0.0,0,0,83,48,-,-,-,-,-,-,-,,2026-01-21T00:11:41.037100+00:00
5ffe1a29-8b69-47e7-8608-ffe405ed8b24,BrightHire,brighthire,-,HR,Unknown,An interview intelligence platform built right into a video conferencing system that transforms hiring quality by assisting people in conducting better interviews and assisting teams in hiring faster and with less bias.,Recruitment,ERP,-,-,0.0,4000.0,0.0,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.147633+00:00
f1ff2f4d-ea14-4e1e-96db-13c0b8be1df7,BrightTALK,TechTarget,retired,IT,Unknown,Technology media company that provides professional webinar hosting.,"Webinars, Meeting & Organizing, Event Management","Contract uploads, ERP",Business Funded,-,0.0,78000.0,12000.0,0,0,0,0,516-global demand gen,-,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.090546+00:00
d537e00f-68a7-4bdb-bf9e-b840560ff3a9,BrowserStack,BrowserStack,in_review,Engineering,Unknown,Development site that enables developers to test their websites or apps in a variety of online environments.,"Automation & Testing, Developer Tools",Expense Mgmt,Expense Only,-,0.0,2081.33,1188.0,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.148194+00:00
64b6435e-bd76-407e-8695-6b244a9062d4,Camtasia,TechSmith,-,IT,Unknown,"Screen-action recording app. Saves the recorded actions as video that is compatible with a number of media formats. Compatible with Windows, iOS, Android and iPhone.","Video editing, Content Generation, Screen Recording, Training",ERP,IT Funded,-,0.0,765.69,0.0,0,0,0,0,650-it executive,-,-,-,-,-,-,,2026-01-21T00:11:41.148721+00:00
f39637ac-97a0-49e9-b6e3-cf161c8e931f,Canonical,Canonical,-,IT,Unknown,Canonical is an open source project that extends from the cloud to the desktop and devices.,"Cloud Management, IT management, Cloud Infrastructure",ERP,Business Funded,-,0.0,50000.0,100000.0,0,0,0,0,355-bangalore r&d,-,-,-,-,-,-,,2026-01-21T00:11:41.149247+00:00
08670768-7ec4-4057-b00c-5ce11c575dbf,Canva,Canva,-,"Design, IT",Unknown,"Graphic design platform that provides professionally-designed templates that non-pros can use with their own uploaded photos to create invitations, business cards, flyers, lesson plans, and video conferencing backgrounds.","UX Design, Graphic Design",Expense Mgmt,Expense Only,-,0.0,439.9,442.37,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.149734+00:00
96e2c600-ab92-40b5-b8b2-e1dcdf882e31,Carbon Black,VMware,in_review,IT,Unknown,Endpoint security software that is designed to detect malicious behavior and to help prevent malicious files from attacking an organization.,"Network Security, Threat Intelligence, Incident Management","SSO Logins, Contract uploads, ERP","Engineering, Business Funded",-,148560.0,148560.0,117629.0,0,0,17,7,391-iid r&d,Chris Carlson,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.061196+00:00
1d2554e3-e41e-4476-a853-deb05a87e398,Certinia,Certinia,approved,Finance,Unknown,"A software that accelerates business growth with customer-centric ERP, Professional Services Automation (PSA), and Customer Success solutions.","EPM, Accounting & Finance, Planning","Contract uploads, ERP",IT Funded,-,193859.64,209745.96,198774.34,0,0,0,0,650-it executive,Dhee Kumar,-,-,-,-,-,,2026-01-21T00:11:41.091186+00:00
5ba68e11-ba62-4916-b79d-c6a98f5aedfe,ChatGPT,OpenAI,-,-,Unknown,"Chatbot software that engages in natural, conversational interactions, capable of answering follow-up questions, acknowledging its mistakes, challenging incorrect premises, and refusing inappropriate requests.","AI, Conversational AI","SSO Logins, Contract uploads, Expense Mgmt, ERP",-,-,72000.0,72127.34,83.24,0,0,81,69,-,-,-,-,-,-,-,,2026-01-21T00:11:41.033456+00:00
b1268f57-3e6c-494e-9c5b-c43bca943a21,Cisco,Cisco Systems,approved,IT,Unknown,"A software that develops and manufactures telecommunication hardware and other services and products,","IT management, Networking, Communication","Contract uploads, Expense Mgmt",IT Funded,-,0.0,0.0,0.0,0,0,0,0,652-it operations,-,John Cornell,-,-,Prashanth Kumar s,-,,2026-01-21T00:11:41.091694+00:00
864d0b87-86df-455f-89a9-e82ce20218ea,Cision,Cision,approved,"Marketing, IT",Unknown,"Media management software and service provider that enables customers to target key influencers, distribute strategic content, track and measure meaningful impact through text and images.",Market Research,"Contract uploads, ERP",Business Funded,-,36400.0,93090.0,118852.02,0,0,0,0,514-corporate communications,-,-,-,-,-,-,,2026-01-21T00:11:41.092259+00:00
ef3ca917-3a39-4442-83b4-5d549a80ba3c,Clari,Clari,approved,IT,Unknown,"Revenue operations management platform that enables its customers to manage pipeline health, accurately forecast, and take action for more predictable revenue.",Sales Analytics,"SSO Logins, Contract uploads, ERP","GTM TechStack, IT Funded",-,394180.0,394180.0,325110.0,0,0,574,433,650-it executive,Betsy Thomas,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,Nagesh Prakash,2026-01-21T00:11:41.018275+00:00
91db57ad-2006-439d-be1e-c673a24d24ca,CloudFuze,CloudFuze,retired,Engineering,Cloud,A web application that enables users to move files from one cloud service to another or migrate their entire cloud data to a new service.,Cloud Management,"Contract uploads, ERP",IT Funded,-,104050.29,0.0,60696.0,0,0,0,0,866-it-corp admin,-,-,-,-,-,-,,2026-01-21T00:11:41.092742+00:00
5c7ac606-025c-425a-8eeb-6b176467e8d7,CloudPay,CloudPay,approved,Finance,Cloud,"CloudPay is a unified solution that connects all employee pay processes, including payroll, payments, and on-demand pay.",Payment Processing,"Contract uploads, ERP",Business Funded,-,55725.3,236136.82,319153.18,0,0,0,0,620-finance,Anusha Radhakrishnan,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.093220+00:00
2ea9dee6-3fe4-4e45-8e0f-b1df85b465a3,CloudZero,CloudZero,-,Finance,Cloud,A service that detects cost anomalies and waste in real time to optimise cloud costs and prevent accidental overspend.,-,SSO Logins,-,-,0.0,0.0,0.0,0,0,5,5,-,-,-,-,-,-,-,,2026-01-21T00:11:41.065866+00:00
eb28acaa-e931-43bd-975a-3c645a17d832,Cloudability,Apptio,-,-,Cloud,A platform that helps organizations optimize their cloud costs by identifying underutilized resources.,-,"Contract uploads, ERP","Engineering, Business Funded",-,110000.0,0.0,100000.0,0,0,0,0,198-saas cloud ops,-,-,-,-,-,-,,2026-01-21T00:11:41.093751+00:00
9fbcd7a2-fd44-471c-a662-e30db07ec47c,Cloudingo,Symphonic Source,retired,Sales,Cloud,"A software tool used in uploading lists to Salesforce, creating new records and updating existing ones.","Data & Analytics, Business Intelligence","Contract uploads, ERP",Business Funded,-,9350.0,9350.0,0.0,0,0,0,0,414-sales operations,-,-,-,-,Prashanth Kumar s,-,,2026-01-21T00:11:41.094305+00:00
212e17d3-b739-4d76-b7e6-c92b22f4c4d2,Concur Expense,SAP,approved,IT,Unknown,Travel and expense management services.,"Expense Management, Business Travel","SSO Logins, Contract uploads, ERP",IT Funded,-,260000.0,232060.4,234006.42,0,0,2862,1440,653-it applications-erp,Sasank Ambadasugari,-,-,-,Prashanth Kumar s,-,Darshan Ganapathi,2026-01-21T00:11:41.012348+00:00
4379c056-600c-4cb0-94a9-b6fe594139bf,Confetti,Confetti,-,"IT, Design",Unknown,Live streaming toolset for capturing virtual and hybrid events.,"Event Management, Planning",Expense Mgmt,Expense Only,-,0.0,995.0,650.0,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.150280+00:00
787ccce4-8150-492b-aed3-19c62b184658,Confluence,Atlassian,approved,Engineering,Unknown,"A collaboration platform that enables teams to create, organize, and share information effectively. It integrates with Jira and other tools, offers customizable templates, and leverages AI to enhance productivity and knowledge management.",Knowledge Management,"SSO Logins, Contract uploads, ERP","Subscription Monitored By CCM, Engineering",-,49159.9,5512.58,59457.67,0,0,256,16,335-engineering-development,-,-,-,-,-,-,,2026-01-21T00:11:41.044276+00:00
3afa0c48-637b-4046-b9e0-0420dbdb2b12,ContactMonkey,ContactMonkey,-,-,Unknown,"It is an all-in-one internal communications software that makes creating, sending, and tracking beautiful HTML emails easier",-,"SSO Logins, Contract uploads",-,-,21410.0,0.0,0.0,0,0,24,16,-,-,-,-,-,-,-,,2026-01-21T00:11:41.044773+00:00
b3e45fe8-125e-4f01-9da7-ce6757ce94c4,Coursera,Coursera,-,"HR, Engineering",Unknown,An online learning platform that offers anyone access to self guided courses on variety of subjects in different colleges or universities worldwide.,"Learning Apps, Professional Development Training",Expense Mgmt,-,-,0.0,199.0,394.94,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.150815+00:00
83ef3aaf-0e81-4028-848f-5f9757258310,Coveo,Coveo,approved,IT,Unknown,SEO tools for quickly building unified and relevant search.,Sales & Marketing,"SSO Logins, Contract uploads, ERP",IT Funded,-,251554.0,0.0,251554.0,0,0,23,6,650-it executive,-,-,-,-,Prashanth Kumar s,-,,2026-01-21T00:11:41.063314+00:00
b2c92bd1-0524-4aba-8a96-ceec64a6662d,Crayon.co,Crayon,approved,IT,Unknown,"A company that provides market and competitive intelligence software and services. Their platform is designed to help businesses gain insights into their market landscape, competitors, and industry trends.","Market Intelligence, Marketing Analytics",Contract uploads,"Engineering, Business Funded",-,19260.0,0.0,0.0,0,0,0,0,390-cto organization,-,-,-,-,-,-,,2026-01-21T00:11:41.094707+00:00
